book_folder,id,display_label,title,arabic_title,preface,range,order
abu-dawud_bn,9,৯,যাকাত,كِتَابُ الزَّكَاةِ,,১৫৫৬ - ১৭০০,9
abu-dawud_bn,10,১০,লুকতা (হারানো বস্তু প্রাপ্তি),كِتَابُ اللُّقَطَةِ,,১৭০১ - ১৭২০,10
abu-dawud_bn,11,১১,হজ্জ,كِتَابُ الْمَنَاسِكِ,,১৭২১ - ২০৪৫,11
abu-dawud_bn,12,১২,বিবাহ,كِتَابُ النِّكَاحِ,,২০৪৬ - ২১৭৪,12
abu-dawud_bn,13,১৩,তালাক,كِتَابُ الطَّلَاقِ,,২১৭৫ - ২৩১২,13
abu-dawud_bn,14,১৪,সওম (রোজা),كِتَابُ الصَّوْمِ,,২৩১৩ - ২৪৭৬,14
abu-dawud_bn,15,১৫,জিহাদ,كِتَابُ الْجِهَادِ,,২৪৭৭ - ২৭৮৭,15
abu-dawud_bn,16,১৬,কুরবানির নিয়ম-কানুন,كِتَابُ الضَّحَايَا,,২৭৮৮ - ২৮৪৩,16
abu-dawud_bn,17,১৭,শিকার প্রসঙ্গে,كِتَابُ الصَّيْدِ,,২৮৪৪ - ২৮৬১,17
abu-dawud_bn,18,১৮,ওসিয়াত প্রসঙ্গে,كِتَابُ الْوَصَايَا,,২৮৬২ - ২৮৮৪,18
abu-dawud_bn,19,১৯,ফারায়েজ (ওয়ারিসী স্বত্ব),كِتَابُ الْفَرَائِضِ,,২৮৮৫ - ২৯২৭,19
abu-dawud_bn,20,২০,"কর, ফাই ও প্রশাসক",كِتَابُ الْخَرَاجِ وَالإِمَارَةِ وَالْفَيْءِ,,২৯২৮ - ৩০৮৮,20
abu-dawud_bn,21,২১,জানাযা,كِتَابُ الْجَنَائِزِ,,৩০৮৯ - ৩২৪১,21
abu-dawud_bn,22,২২,শপথ ও মানত,كِتَابُ الأَيْمَانِ وَالنُّذُورِ,,৩২৪২ - ৩৩২৫,22
abu-dawud_bn,23,২৩,ব্যবসা-বাণিজ্য,كِتَابُ الْبُيُوعِ,,৩৩২৬ - ৩৪১৫,23
abu-dawud_bn,24,২৪,ইজারা (ভাড়া ও শ্রম বিক্রয়),كِتَابُ الإِجَارَةِ,,৩৪১৬ - ৩৫৭০,24
abu-dawud_bn,25,২৫,বিচার ব্যবস্থা,كِتَابُ الأَقْضِيَةِ,,৩৫৭১ - ৩৬৪০,25
abu-dawud_bn,26,২৬,জ্ঞান,كِتَابُ الْعِلْمِ,,৩৬৪১ - ৩৬৬৮,26
abu-dawud_bn,27,২৭,পানীয় দ্রব্য প্রসঙ্গে,كِتَابُ الأَشْرِبَةِ,,৩৬৬৯ - ৩৭৩৫,27
